"链接","文章名","展示次数","点击次数","曝光有点率","排序位置","文章搜索词"
"http://mp.weixin.qq.com/s?__biz=MzU4NTAzNTg2Nw==&mid=2247484300&idx=1&sn=e48a5160e2938c73cf887f1dc44483a8&chksm=fc19e5ca265276502113c707dc4f9ba39e9a5cbfb703fcb41710bc021a090791ea92d2bbb6c5#rd","2026年开发一个类似“商城”的微信小程序需要多少钱？（附详细成本拆解表）","204","21","10.29%","12.58","开发小程序的费用明细，商城小程序，小程序开发费用一览表含价格"
"http://mp.weixin.qq.com/s?__biz=MzU4NTAzNTg2Nw==&mid=2247484168&idx=1&sn=260365d2670abe4d43bba314ff977d66&chksm=fc35c0e8699f2ce07ef7217045ec6c396cf0902b50f4ae29695ea815871b51d51beffb46fd67#rd","使用Kodi看奥运会直播","61","7","11.48%","11.31","kodi直播源地址，kodi 直播源，kodi iptv直播源地址"
"http://mp.weixin.qq.com/s?__biz=MzU4NTAzNTg2Nw==&mid=2247484295&idx=1&sn=18417b4e430e359902494647bf44cbcf&chksm=fcee4b6dec4f9fcdf129f5d646b825c33912f32a980dc23ec2a0383cb4d86f4488a7923ec958#rd","本地部署大模型双雄：Ollama 与 vLLM 实战指南","61","6","9.84%","41.58","vllm，70b的模型需要多大的显卡去运行，Qipillama"
"http://mp.weixin.qq.com/s?__biz=MzU4NTAzNTg2Nw==&mid=2247484275&idx=1&sn=9112ca018844932df6122738083c8496&chksm=fccb549762f705a2425fc8e9a72f5235fa2af6db3f779b59f7e6cdc0800c8f75aecf56e4f76c#rd","使用AnyGen创建儿童绘本","50","6","12.00%","45.30","AnyGen绘本制作，anygen，定制电子书"
"http://mp.weixin.qq.com/s?__biz=MzU4NTAzNTg2Nw==&mid=2247484305&idx=1&sn=5786c1be1daafa65051a4b416ac9e4a2&chksm=fc2ea4a22590bbbb55abfc46d7c75e44183306fed6dcf48ff4a98e15c8caeecffee7f6d6bfa8#rd","别被“做个APP”忽悠了：2026 年，小程序+企微群才是私域流量的“黄金搭档”","37","4","10.81%","14.56","企业微信做私域，哪个小程序可以企微互动，开发app做私域"
"http://mp.weixin.qq.com/s?__biz=MzU4NTAzNTg2Nw==&mid=2247484055&idx=1&sn=311bf26887319d325147800e458e4ebf&chksm=fd91fba3cae672b5d382c9cc8439f0ed0e4bb5c5bfff3ad3b1d7e192136460259b513b28f63a#rd","Vue3 企业级项目实战","25","0","0.00%","13.39","Vue3企业级项目实战课，sprngboot企业级工程实践"
"http://mp.weixin.qq.com/s?__biz=MzU4NTAzNTg2Nw==&mid=2247483779&idx=1&sn=aecb2e719f66b6209511cab34d5e01fd&chksm=fd91f8b7cae671a19f1015211992f6ae3bac67a05d568f2df4346413bbf538da9c9a5d11e28b#rd","UniApp的Android离线运行环境","14","0","0.00%","20.97","uniapp iOS webview本地地址打不开，android sdk 离线文件，android 调用 uniapp"
"http://mp.weixin.qq.com/s?__biz=MzU4NTAzNTg2Nw==&mid=2247484245&idx=1&sn=9689716188ce60ad0dd9e4052b53d037&chksm=fc293dcca1d0e82525195c325e31ed315f3fbbe6d7c8d12e57d1be7706d784f7242595e043ff#rd","2025！Android开发的出路在哪？","13","2","15.38%","18.79","android 失业，android 开发，安卓 开发"
"http://mp.weixin.qq.com/s?__biz=MzU4NTAzNTg2Nw==&mid=2247483748&idx=1&sn=76f5f0f0756a83b4a6ef5fe925711ac7&chksm=fd91f850cae67146ed2782a2c5f82c20e3645cd238502943fe97dbe65063e000bd6f0cbd2b63#rd","GitLab个人令牌及设置中文","12","2","16.67%","12.12","gitlab令牌，gitlab personal access token，gitlab 添加账号 命名空间"
"http://mp.weixin.qq.com/s?__biz=MzU4NTAzNTg2Nw==&mid=2247484181&idx=1&sn=8191dc1433d34f0823e0e18748fe67d8&chksm=fcad3c6a713c893f7c3df0447dc8b2c13bbf126bb6089c837b59c8b5916e888cafc9894fcb73#rd","使用脚本循环模拟手机点击事件","9","0","0.00%","22.19","1132190，app模拟人工脚本，ios 模拟点击"
